DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	AD_skin_only	AD_nose_only	AD_shared

DATA
g__Escherichia_710834_ASV-2	#e7b9d8	AD_shared
g__Corynebacterium_ASV-1	#e7b9d8	AD_shared
g__Nitrosocosmicus_ASV-1	#e7b9d8	AD_shared
g__Brevundimonas_ASV-6	#e7b9d8	AD_shared
g__Anaerococcus_ASV-8	#e7b9d8	AD_shared
g__Sphingobacterium_ASV-1	#e7b9d8	AD_shared
g__Corynebacterium_ASV-17	#e7b9d8	AD_shared
g__Collinsella_ASV-1	#e7b9d8	AD_shared
g__Capnocytophaga_820688_ASV-4	#e7b9d8	AD_shared
g__Veillonella_A_ASV-3	#e7b9d8	AD_shared
g__Corynebacterium_ASV-13	#e7b9d8	AD_shared
g__Actinomyces_ASV-4	#e7b9d8	AD_shared
g__Prevotella_ASV-16	#e7b9d8	AD_shared
g___ASV-96	#e7b9d8	AD_shared
g__Brevibacterium_ASV-4	#e7b9d8	AD_shared
g__Massilia_ASV-1	#e7b9d8	AD_shared
g__Finegoldia_ASV-1	#e7b9d8	AD_shared
g__Granulicatella_ASV-2	#e7b9d8	AD_shared
g__Corynebacterium_ASV-14	#e7b9d8	AD_shared
g___ASV-2	#e7b9d8	AD_shared
g__Nocardioides_A_392796_ASV-6	#e7b9d8	AD_shared
g__Eubacterium_M_ASV-1	#e7b9d8	AD_shared
g__Prevotella_ASV-9	#e7b9d8	AD_shared
g__Acinetobacter_ASV-10	#e7b9d8	AD_shared
g__Brevibacterium_ASV-6	#e7b9d8	AD_shared
g__Veillonella_A_ASV-5	#e7b9d8	AD_shared
g__Chryseobacterium_796614_ASV-2	#e7b9d8	AD_shared
g__Peptoniphilus_A_ASV-3	#e7b9d8	AD_shared
g__Corynebacterium_ASV-11	#e7b9d8	AD_shared
g__Hymenobacter_910554_ASV-1	#e7b9d8	AD_shared
g__Sphingobium_A_485959_ASV-1	#e7b9d8	AD_shared
g__Fusobacterium_C_ASV-3	#e7b9d8	AD_shared
g__Massilia_ASV-5	#e7b9d8	AD_shared
g__Pseudomonas_E_647464_ASV-4	#e7b9d8	AD_shared
g___ASV-136	#e7b9d8	AD_shared
g___ASV-75	#e7b9d8	AD_shared
g__Leuconostoc_B_ASV-2	#e7b9d8	AD_shared
g___ASV-141	#e7b9d8	AD_shared
g__Capnocytophaga_820688_ASV-1	#e7b9d8	AD_shared
g___ASV-116	#e7b9d8	AD_shared
g__Corynebacterium_ASV-2	#e7b9d8	AD_shared
g__Brachybacterium_ASV-1	#e7b9d8	AD_shared
g__Staphylococcus_ASV-6	#e7b9d8	AD_shared
g__Rubellimicrobium_ASV-1	#e7b9d8	AD_shared
g__Staphylococcus_ASV-1	#e7b9d8	AD_shared
g__Paracoccus_ASV-5	#e7b9d8	AD_shared
g__SIO2C1_ASV-2	#e7b9d8	AD_shared
g__Prevotella_ASV-21	#e7b9d8	AD_shared
g___ASV-41	#e7b9d8	AD_shared
g__Skermanella_ASV-2	#e7b9d8	AD_shared
g__Neisseria_563205_ASV-1	#e7b9d8	AD_shared
g__Acidipropionibacterium_ASV-1	#e7b9d8	AD_shared
g__Leptotrichia_A_993758_ASV-6	#e7b9d8	AD_shared
g__Acinetobacter_ASV-4	#e7b9d8	AD_shared
g__Leptotrichia_A_993758_ASV-1	#e7b9d8	AD_shared
g__Haemophilus_D_735815_ASV-3	#e7b9d8	AD_shared
g__Stenotrophomonas_A_615274_ASV-2	#e7b9d8	AD_shared
g__Roseburia_ASV-2	#e7b9d8	AD_shared
g___ASV-22	#e7b9d8	AD_shared
g__Phocaeicola_A_858004_ASV-3	#e7b9d8	AD_shared
g__Mediterraneibacter_A_155507_ASV-1	#e7b9d8	AD_shared
g__Peptostreptococcus_ASV-1	#e7b9d8	AD_shared
g__Granulicatella_ASV-4	#e7b9d8	AD_shared
g__Paraprevotella_ASV-1	#e7b9d8	AD_shared
g__Mesorhizobium_F_498388_ASV-4	#e7b9d8	AD_shared
g__Prevotella_ASV-39	#e7b9d8	AD_shared
g___ASV-38	#e7b9d8	AD_shared
g__F0058_ASV-1	#e7b9d8	AD_shared
g__Prevotella_ASV-26	#e7b9d8	AD_shared
g__Sphingomonas_L_486704_ASV-2	#e7b9d8	AD_shared
g__Capnocytophaga_820690_ASV-1	#e7b9d8	AD_shared
g__Veillonella_A_ASV-2	#e7b9d8	AD_shared
g__SIO2C1_ASV-8	#e7b9d8	AD_shared
g__Corynebacterium_ASV-15	#e7b9d8	AD_shared
