DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	H_skin_only	H_nose_only	H_shared

DATA
g__Bifidobacterium_388775_ASV-2	#e7b9d8	H_shared
g__Comamonas_F_589250_ASV-1	#e7b9d8	H_shared
g__Staphylococcus_ASV-10	#e7b9d8	H_shared
g__Streptococcus_ASV-11	#e7b9d8	H_shared
g__Fusobacterium_C_ASV-8	#e7b9d8	H_shared
g__Dolosigranulum_ASV-1	#e7b9d8	H_shared
g__Cutibacterium_ASV-1	#e7b9d8	H_shared
g__Lactobacillus_ASV-5	#e7b9d8	H_shared
g__Streptococcus_ASV-6	#e7b9d8	H_shared
g__Pontibacter_909804_ASV-2	#e7b9d8	H_shared
g__Staphylococcus_ASV-2	#e7b9d8	H_shared
g__Acetobacter_ASV-2	#e7b9d8	H_shared
g__Capnocytophaga_820688_ASV-6	#e7b9d8	H_shared
g__Gordonia_B_376796_ASV-1	#e7b9d8	H_shared
g___ASV-66	#e7b9d8	H_shared
g__Finegoldia_ASV-2	#e7b9d8	H_shared
g__Pseudonocardia_ASV-1	#e7b9d8	H_shared
g__Faecalibacterium_ASV-3	#e7b9d8	H_shared
g__Prevotella_ASV-42	#e7b9d8	H_shared
g__UMGS1994_ASV-2	#e7b9d8	H_shared
g__Blautia_A_141781_ASV-1	#e7b9d8	H_shared
g___ASV-29	#e7b9d8	H_shared
g__Brachybacterium_ASV-2	#e7b9d8	H_shared
g__Prevotella_ASV-12	#e7b9d8	H_shared
g__Clostridium_T_ASV-2	#e7b9d8	H_shared
g__Granulicatella_ASV-3	#e7b9d8	H_shared
g__Massilia_ASV-2	#e7b9d8	H_shared
g__Cloacibacterium_ASV-3	#e7b9d8	H_shared
g__Streptococcus_ASV-2	#e7b9d8	H_shared
g__Peptoniphilus_A_ASV-1	#e7b9d8	H_shared
g__Leptotrichia_A_993758_ASV-9	#e7b9d8	H_shared
g__Allosphingosinicella_ASV-1	#e7b9d8	H_shared
g__Clostridium_T_ASV-3	#e7b9d8	H_shared
g__Prevotella_ASV-10	#e7b9d8	H_shared
g__Ligilactobacillus_ASV-2	#e7b9d8	H_shared
g__Prevotella_ASV-11	#e7b9d8	H_shared
g__Neisseria_563205_ASV-4	#e7b9d8	H_shared
g__Weissella_A_338544_ASV-2	#e7b9d8	H_shared
g__Aggregatibacter_736122_ASV-1	#e7b9d8	H_shared
g__Arthrobacter_D_ASV-1	#e7b9d8	H_shared
g__Flaviaesturariibacter_ASV-1	#e7b9d8	H_shared
g__Mesorhizobium_F_498388_ASV-3	#e7b9d8	H_shared
g___ASV-157	#e7b9d8	H_shared
g__Prevotella_ASV-29	#e7b9d8	H_shared
g__Haemophilus_D_734546_ASV-2	#e7b9d8	H_shared
g___ASV-82	#e7b9d8	H_shared
g__Exiguobacterium_A_ASV-4	#e7b9d8	H_shared
g__Pauljensenia_ASV-1	#e7b9d8	H_shared
g___ASV-78	#e7b9d8	H_shared
g___ASV-118	#e7b9d8	H_shared
g__Alloprevotella_ASV-2	#e7b9d8	H_shared
g__Peptostreptococcus_ASV-4	#e7b9d8	H_shared
g__Porphyromonas_A_859423_ASV-2	#e7b9d8	H_shared
g__Gemella_ASV-3	#e7b9d8	H_shared
g___ASV-65	#e7b9d8	H_shared
g__Micrococcus_ASV-4	#e7b9d8	H_shared
g__Paracoccus_ASV-10	#e7b9d8	H_shared
g__Bifidobacterium_388775_ASV-4	#e7b9d8	H_shared
g___ASV-114	#e7b9d8	H_shared
g__Treponema_B_986142_ASV-1	#e7b9d8	H_shared
g__Prevotella_ASV-30	#e7b9d8	H_shared
